,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao
25345,0.4,14.1,0.0,4,0.0,0.1,96.0,-99.0
25346,2.9,14.5,0.0,5,0.0,0.8,70.0,-99.0
25347,1.1,-99.0,13.2,5,0.0,0.3,-99.0,-99.0
25348,3.2,13.0,0.0,5,0.0,0.9,100.0,1026.6
25349,1.1,13.4,0.0,6,0.0,0.3,100.0,-99.0
25350,14.4,18.0,0.0,7,0.7,4.0,87.0,1028.7
25351,24.8,18.0,0.2,8,0.2,6.9,88.0,1028.8
25352,11.9,16.6,-99.0,7,0.0,3.3,72.0,1029.9
25353,3.2,-99.0,-99.0,7,0.0,0.9,99.0,-99.0
25354,25.2,16.7,-99.0,6,0.0,7.0,71.0,1030.6
25355,28.4,17.5,0.0,7,0.0,7.9,73.0,1029.4
25356,5.0,16.0,0.0,8,0.0,1.4,75.0,-99.0
25357,0.0,16.7,-99.0,0,0.0,0.0,74.0,1030.1
25358,16.6,17.0,0.0,7,0.0,4.6,62.0,1031.1
25359,15.1,-99.0,0.0,8,0.0,4.2,-99.0,-99.0
25360,24.8,18.1,-99.0,1,0.0,6.9,60.0,1028.5
25361,2.2,13.6,0.0,6,0.0,0.6,95.0,-99.0
25362,7.9,17.8,0.0,2,0.0,2.2,61.0,-99.0
25363,9.4,17.6,-99.0,2,0.0,2.6,63.0,1028.9
25364,-99.0,9.6,0.1,0,0.0,-99.0,83.0,-99.0
25365,6.8,14.2,0.0,6,0.0,1.9,94.0,-99.0
25366,4.7,11.9,0.0,6,0.0,1.3,99.0,-99.0
25367,1.8,13.3,3.5,5,0.0,0.5,95.0,-99.0
25368,1.1,14.4,0.0,7,0.0,0.3,99.0,-99.0
25369,20.5,10.6,-99.0,6,0.1,5.7,97.0,-99.0
25370,6.8,11.2,-99.0,5,-99.0,1.9,100.0,-99.0
25371,-99.0,9.6,-99.0,0,-99.0,-99.0,94.0,-99.0
25372,-99.0,9.2,-99.0,0,-99.0,-99.0,100.0,-99.0
25373,3.6,9.9,-99.0,1,0.5,1.0,-99.0,-99.0
25374,5.4,8.6,-99.0,6,0.4,1.5,100.0,-99.0
25375,29.5,10.1,-99.0,7,0.2,8.2,97.0,-99.0
25376,5.0,7.9,-99.0,6,0.0,1.4,100.0,-99.0
25377,14.4,10.4,-99.0,6,-99.0,4.0,100.0,-99.0
25378,15.5,13.5,0.0,5,0.2,4.3,99.0,1024.9
25379,0.7,8.1,0.0,6,0.0,0.2,95.0,-99.0
25380,6.8,13.4,0.0,6,0.2,1.9,100.0,1026.2
25381,2.9,6.8,0.0,2,0.0,0.8,95.0,-99.0
25382,24.1,8.9,0.0,2,0.0,6.7,95.0,-99.0
25383,5.8,12.2,0.0,3,0.1,1.6,100.0,1024.5
25384,3.6,11.3,0.0,8,0.0,1.0,77.0,1027.2
25385,-99.0,8.2,-99.0,0,-99.0,-99.0,100.0,-99.0
25386,6.1,8.1,0.0,7,0.0,1.7,100.0,1027.2
25387,5.4,12.9,0.0,9,0.0,1.5,100.0,1027.5
25388,9.4,10.1,0.0,8,0.0,2.6,88.0,1027.4
25389,-99.0,-99.0,0.0,6,0.0,-99.0,-99.0,-99.0
25390,6.1,11.9,0.0,6,0.0,1.7,100.0,-99.0
25391,1.8,10.5,0.0,5,0.0,0.5,99.0,1024.7
25392,37.1,8.0,0.0,7,0.1,10.3,100.0,-99.0
